PERFIL_NUTRICIONAL; MOTORISTA; CODRACAO; TIPO_RACAO; TRATO; DIAS_CONF; DATA_ENTR; DATA_CONSUMO; LOTE; CURRAL; CAB; LEITURA; MS_DIETA; PREVISTO; REALIZADO; HORA_INICIAL; HORA_FINAL
TT;GUILHERME;10479;TERMINAÇÃO;1;69;21/11/2024;28/01/2025;11140;CUR-1;147;1;63,8252;572,5;585;07:32:08;07:32:36
TT;GUILHERME;10479;TERMINAÇÃO;2;69;21/11/2024;28/01/2025;11140;CUR-1;147;1;63,8252;572,5;575;10:21:57;10:22:42
TT;GUILHERME;10479;TERMINAÇÃO;3;69;21/11/2024;28/01/2025;11140;CUR-1;147;1;63,8252;572,5;585;13:15:41;13:16:10
TT;GUILHERME;10479;TERMINAÇÃO;4;69;21/11/2024;28/01/2025;11140;CUR-1;147;1;63,8252;545;570;16:07:01;16:07:26
TT;GUILHERME;10479;TERMINAÇÃO;1;53;07/12/2024;28/01/2025;11160;CUR-10;152;1;63,8252;593,75;590;07:59:01;07:59:29
TT;GUILHERME;10479;TERMINAÇÃO;2;53;07/12/2024;28/01/2025;11160;CUR-10;152;1;63,8252;593,75;620;10:46:43;10:47:12
TT;GUILHERME;10479;TERMINAÇÃO;3;53;07/12/2024;28/01/2025;11160;CUR-10;152;1;63,8252;593,75;550;13:43:52;13:44:20
TT;GUILHERME;10479;TERMINAÇÃO;4;53;07/12/2024;28/01/2025;11160;CUR-10;152;1;63,8252;615;570;16:43:13;16:43:39
TT;LUCIO;10479;TERMINAÇÃO;1;90;31/10/2024;28/01/2025;11107;CUR-100;150;1;63,8252;817,5;830;08:35:59;08:36:57
TT;LUCIO;10479;TERMINAÇÃO;2;90;31/10/2024;28/01/2025;11107;CUR-100;150;1;63,8252;817,5;820;10:12:00;10:12:52
TT;LUCIO;10479;TERMINAÇÃO;3;90;31/10/2024;28/01/2025;11107;CUR-100;150;1;63,8252;817,5;820;14:10:59;14:11:30
TT;LUCIO;10479;TERMINAÇÃO;4;90;31/10/2024;28/01/2025;11107;CUR-100;150;1;63,8252;800;800;14:58:50;14:59:45
C;GUILHERME;10478;CRESCIMENTO;2;40;20/12/2024;28/01/2025;11174;CUR-101;160;1;61,3816;610,0001;625;08:38:41;08:39:15
C;GUILHERME;10478;CRESCIMENTO;1;40;20/12/2024;28/01/2025;11174;CUR-101;160;1;61,3816;610,0001;670;09:14:56;09:15:23
C;GUILHERME;10478;CRESCIMENTO;4;40;20/12/2024;28/01/2025;11174;CUR-101;160;1;61,3816;1144,0004;1130;15:42:52;15:43:24
C;LUCIO;10478;CRESCIMENTO;3;40;20/12/2024;28/01/2025;11174;CUR-101;160;1;61,3816;610,0001;1;15:55:00;15:55:00
C;GUILHERME;10478;CRESCIMENTO;2;40;20/12/2024;28/01/2025;11175;CUR-102;148;1;61,3816;799,9999;790;08:39:17;08:39:38
C;GUILHERME;10478;CRESCIMENTO;1;40;20/12/2024;28/01/2025;11175;CUR-102;148;1;61,3816;799,9999;850;09:15:30;09:15:53
C;GUILHERME;10478;CRESCIMENTO;4;40;20/12/2024;28/01/2025;11175;CUR-102;148;1;61,3816;1558,9996;1625;15:43:25;15:43:49
C;LUCIO;10478;CRESCIMENTO;3;40;20/12/2024;28/01/2025;11175;CUR-102;148;1;61,3816;799,9999;1;15:55:00;15:55:00
C;GUILHERME;10478;CRESCIMENTO;2;39;21/12/2024;28/01/2025;11176;CUR-103;160;1;61,3816;708,75;765;08:39:40;08:40:02
C;GUILHERME;10478;CRESCIMENTO;1;39;21/12/2024;28/01/2025;11176;CUR-103;160;1;61,3816;708,75;735;09:15:53;09:16:15
C;GUILHERME;10478;CRESCIMENTO;4;39;21/12/2024;28/01/2025;11176;CUR-103;160;1;61,3816;1334;1320;15:43:49;15:44:12
